index,name,email,password
1,"Crave House",demo+01-crave-house@bitecode.dev,Bitecode@123
2,"Fresh Corner",demo+02-fresh-corner@bitecode.dev,Bitecode@123
3,"Urban Kitchen",demo+03-urban-kitchen@bitecode.dev,Bitecode@123
4,"Epic Bistro",demo+04-epic-bistro@bitecode.dev,Bitecode@123
5,"Fresh Bistro",demo+05-fresh-bistro@bitecode.dev,Bitecode@123
6,"Urban House",demo+06-urban-house@bitecode.dev,Bitecode@123
7,"Crave Route",demo+07-crave-route@bitecode.dev,Bitecode@123
8,"Garden District",demo+08-garden-district@bitecode.dev,Bitecode@123
9,"Crave Table",demo+09-crave-table@bitecode.dev,Bitecode@123
10,"Epic District",demo+10-epic-district@bitecode.dev,Bitecode@123
11,"Cozy Bistro",demo+11-cozy-bistro@bitecode.dev,Bitecode@123
12,"Golden Corner",demo+12-golden-corner@bitecode.dev,Bitecode@123
13,"Golden Kitchen",demo+13-golden-kitchen@bitecode.dev,Bitecode@123
14,"Fresh House",demo+14-fresh-house@bitecode.dev,Bitecode@123
15,"Epic Fork",demo+15-epic-fork@bitecode.dev,Bitecode@123
16,"Crave Harbor",demo+16-crave-harbor@bitecode.dev,Bitecode@123
17,"Epic Harbor",demo+17-epic-harbor@bitecode.dev,Bitecode@123
18,"Cozy Corner",demo+18-cozy-corner@bitecode.dev,Bitecode@123
19,"Royal Kitchen",demo+19-royal-kitchen@bitecode.dev,Bitecode@123
20,"Garden Kitchen",demo+20-garden-kitchen@bitecode.dev,Bitecode@123
21,"Urban Harbor",demo+21-urban-harbor@bitecode.dev,Bitecode@123
22,"Cozy Fork",demo+22-cozy-fork@bitecode.dev,Bitecode@123
23,"Royal Fork",demo+23-royal-fork@bitecode.dev,Bitecode@123
24,"Urban Harbor",demo+24-urban-harbor@bitecode.dev,Bitecode@123
25,"Urban District",demo+25-urban-district@bitecode.dev,Bitecode@123
